conductivity,coords,dT_dt,density,object,object_id,temperature,viscosity,zminus_index,zplus_index
80.0,2820.0,-0.0002286759916387382,0.0,0.1,B139,2116.564341051987,0.0,140,142
80.0,2840.0,-0.00023577323308927587,0.0,0.1,B140,2117.3396956091965,0.0,141,143
80.0,2860.0,-0.00023118732915463624,0.0,0.1,B141,2118.1139005081036,0.0,142,144
80.0,2880.0,-0.00023823849123800754,0.0,0.1,B142,2118.8869203777003,0.0,143,145
80.0,2900.0,-0.00023366695295408136,0.0,0.1,B143,2119.6587781115913,0.0,144,146
80.0,2920.0,-0.00024066820651569287,0.0,0.1,B144,2120.429438578738,0.0,145,147
80.0,2940.0,-0.00023611447250004858,0.0,0.1,B145,2121.1989245923214,0.0,146,148
80.0,2960.0,-0.00024306201175932073,0.0,0.1,B146,2121.967201280359,0.0,147,149
80.0,2980.0,-0.00023852950198488543,0.0,0.1,B147,2122.7342913584603,0.0,148,150
80.0,3000.0,-0.0002454195468999387,0.0,0.1,B148,2123.5001602326647,0.0,149,151
80.0,3020.0,-0.00024091165996651399,0.0,0.1,B149,2124.2648305039647,0.0,150,152
80.0,3040.0,-0.00024774045878075415,0.0,0.1,B150,2125.02826787525,0.0,151,153
80.0,3060.0,-0.00024326056964127927,0.0,0.1,B151,2125.790494815962,0.0,152,154
80.0,3080.0,-0.00025002440179378027,0.0,0.1,B152,2126.551477344522,0.0,153,155
80.0,3100.0,-0.00024557585993534303,0.0,0.1,B153,2127.311237782008,0.0,154,156
80.0,3120.0,-0.00025227103651559446,0.0,0.1,B154,2128.0697424808986,0.0,155,157
80.0,3140.0,-0.00024785716486803723,0.0,0.1,B155,2128.827013597227,0.0,156,158
80.0,3160.0,-0.00025448003198107476,0.0,0.1,B156,2129.583017835884,0.0,157,159
80.0,3180.0,-0.0002501041237337631,0.0,0.1,B157,2130.33777717132,0.0,158,160
80.0,3200.0,-0.00025665106459200616,0.0,0.1,B158,2131.091258679014,0.0,159,161
80.0,3220.0,-0.00025231638110199126,0.0,0.1,B159,2131.8434841354465,0.0,160,162
80.0,3240.0,-0.00025878381875372726,0.0,0.1,B160,2132.59442100467,0.0,161,163
80.0,3260.0,-0.00025449358709010993,0.0,0.1,B161,2133.3440908489733,0.0,162,164
80.0,3280.0,-0.00026087798687512986,0.0,0.1,B162,2134.0924615387626,0.0,163,165
80.0,3300.0,-0.00025663539863671756,0.0,0.1,B163,2134.8395544060877,0.0,164,166
80.0,3320.0,-0.0002629332690048614,0.0,0.1,B164,2135.5853377452727,0.0,165,167
80.0,3340.0,-0.000258741477773583,0.0,0.1,B165,2136.329832642267,0.0,166,168
80.0,3360.0,-0.0002649493741046172,0.0,0.1,B166,2137.0730078326533,0.0,167,169
80.0,3380.0,-0.0002608114932627359,0.0,0.1,B167,2137.814884140612,0.0,168,170
80.0,3400.0,-0.0002669260191396461,0.0,0.1,B168,2138.555430760088,0.0,169,171
80.0,3420.0,-0.00026284512041456763,0.0,0.1,B169,2139.2946682380293,0.0,170,172
80.0,3440.0,-0.00026886292926064925,0.0,0.1,B170,2140.0325662436,0.0,171,173
80.0,3460.0,-0.0002648420414516295,0.0,0.1,B171,2140.769145031266,0.0,172,174
80.0,3480.0,-0.0002707598385313758,0.0,0.1,B172,2141.504374762012,0.0,173,175
80.0,3500.0,-0.0002668019449629355,0.0,0.1,B173,2142.2382753827924,0.0,174,176
80.0,3520.0,-0.0002726164901105221,0.0,0.1,B174,2142.970817562751,0.0,175,177
80.0,3540.0,-0.0002687245265406091,0.0,0.1,B175,2143.702020926531,0.0,176,178
80.0,3560.0,-0.0002744326360698324,0.0,0.1,B176,2144.4318566674956,0.0,177,179
80.0,3580.0,-0.00027060948859798374,0.0,0.1,B177,2145.1603440734225,0.0,178,180
80.0,3600.0,-0.0002762080378488463,0.0,0.1,B178,2145.887454877664,0.0,179,181
80.0,3620.0,-0.0002724565410062496,0.0,0.1,B179,2146.613208016832,0.0,180,182
80.0,3640.0,-0.00027794246607300006,0.0,0.1,B180,2147.3375757797403,0.0,181,183
80.0,3660.0,-0.0002742654013673018,0.0,0.1,B181,2148.060576737792,0.0,182,184
80.0,3680.0,-0.0002796357000079297,0.0,0.1,B182,2148.782183750429,0.0,183,185
80.0,3700.0,-0.00027603579501374044,0.0,0.1,B183,2149.5024150100753,0.0,184,186
80.0,3720.0,-0.0002812875291965611,0.0,0.1,B184,2150.221243961648,0.0,185,187
80.0,3740.0,-0.00027776745473602206,0.0,0.1,B185,2150.9386884050964,0.0,186,188
80.0,3760.0,-0.00028289775264056516,0.0,0.1,B186,2151.6547223853404,0.0,187,189
80.0,3780.0,-0.00027946012141910614,0.0,0.1,B187,2152.369363296644,0.0,188,190
80.0,3800.0,-0.0002844661788913072,0.0,0.1,B188,2153.082585798119,0.0,189,191
80.0,3820.0,-0.0002811135441334045,0.0,0.1,B189,2153.7944068654297,0.0,190,192
80.0,3840.0,-0.00028599262668649317,0.0,0.1,B190,2154.504801785727,0.0,191,193
80.0,3860.0,-0.00028272748004383176,0.0,0.1,B191,2155.2137871034633,0.0,192,194
80.0,3880.0,-0.0002874769248592202,0.0,0.1,B192,2155.921338747321,0.0,193,195
80.0,3900.0,-0.0002843016949555022,0.0,0.1,B193,2156.627472818241,0.0,194,196
80.0,3920.0,-0.0002889189117013302,0.0,0.1,B194,2157.33216589957,0.0,195,197
80.0,3940.0,-0.00028583596322278025,0.0,0.1,B195,2158.035433636753,0.0,196,198
80.0,3960.0,-0.0002903184363276523,0.0,0.1,B196,2158.7372532805666,0.0,197,199
80.0,3980.0,-0.00028733006820402807,0.0,0.1,B197,2159.437640009301,0.0,198,200
80.0,4000.0,-0.0002916753579484066,0.0,0.1,B198,2160.13657175355,0.0,199,201
80.0,4020.0,-0.00028878380107926204,0.0,0.1,B199,2160.834063213126,0.0,200,202
80.0,4040.0,-0.00029298954668774966,0.0,0.1,B200,2161.53009301044,0.0,201,203
80.0,4060.0,-0.0002901969635786372,0.0,0.1,B201,2162.2246753558425,0.0,202,204
80.0,4080.0,-0.0002942608818557346,0.0,0.1,B202,2162.9177895751736,0.0,203,205
80.0,4100.0,-0.00029156936579965986,0.0,0.1,B203,2163.6094493786813,0.0,204,206
80.0,4120.0,-0.00029548925485869406,0.0,0.1,B204,2164.2996348068473,0.0,205,207
80.0,4140.0,-0.0002929008271166822,0.0,0.1,B205,2164.988359059531,0.0,206,208
80.0,4160.0,-0.0002966745668345538,0.0,0.1,B206,2165.67560290266,0.0,207,209
80.0,4180.0,-0.0002941911763628014,0.0,0.1,B207,2166.361379015781,0.0,208,210
80.0,4200.0,-0.00029781673065372156,0.0,0.1,B208,2167.0456689006583,0.0,209,211
80.0,4220.0,-0.0002954402518298593,0.0,0.1,B209,2167.7284847069645,0.0,210,212
80.0,4240.0,-0.0002989156690091477,0.0,0.1,B210,2168.409808682272,0.0,211,213
80.0,4260.0,-0.0002966479019050894,0.0,0.1,B211,2169.0896524371947,0.0,212,214
80.0,4280.0,-0.0002999713158715167,0.0,0.1,B212,2169.7679989746557,0.0,213,215
80.0,4300.0,-0.0002978139847982675,0.0,0.1,B213,2170.4448593573998,0.0,214,216
80.0,4320.0,-0.0003009836164892477,0.0,0.1,B214,2171.1202173528127,0.0,215,217
80.0,4340.0,-0.0002989383679050661,0.0,0.1,B215,2171.7940834673445,0.0,216,218
80.0,4360.0,-0.00030195252693374644,0.0,0.1,B216,2172.466442241517,0.0,217,219
80.0,4380.0,-0.0003000209297169931,0.0,0.1,B217,2173.137303617446,0.0,218,220
80.0,4400.0,-0.00030287801400845636,0.0,0.1,B218,2173.8066529170223,0.0,219,221
80.0,4420.0,-0.0003010615580933518,0.0,0.1,B219,2174.4744995103792,0.0,220,222
